subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
MRI_faces_102	 2	 8	 1019.jpg	 1.241345e+02	 22	 1.018511e+03	 2200	 7.836627e+02	 98	 1.251847e+02	 716.67	 733.33	 43.00	 4	 0.35	 
MRI_faces_102	 2	 8	 1226.jpg	 1.281288e+02	 24	 999000	 240	 999000	 999	 1.291483e+02	 716.67	 733.33	 58.00	 27	 0.12	 
MRI_faces_102	 2	 8	 1114.jpg	 1.301287e+02	 12	 999000	 120	 999000	 999	 1.311477e+02	 716.67	 733.33	 6.00	 13	 0.82	 
MRI_faces_102	 2	 8	 1035.jpg	 1.351289e+02	 12	 999000	 120	 999000	 999	 1.361463e+02	 716.67	 733.33	 7.00	 7	 0.79	 
MRI_faces_102	 2	 8	 1027.jpg	 1.371289e+02	 22	 9.450093e+02	 220	 7.336395e+02	 98	 1.381729e+02	 716.67	 750.00	 48.00	 5	 0.28	 
MRI_faces_102	 2	 8	 2149.jpg	 1.391289e+02	 22	 9.900015e+02	 220	 7.503837e+02	 98	 1.401722e+02	 716.67	 766.66	 46.00	 49	 0.29	 
MRI_faces_102	 2	 8	 1192.jpg	 1.431290e+02	 24	 999000	 240	 999000	 999	 1.441461e+02	 716.67	 766.66	 47.00	 22	 0.29	 
MRI_faces_102	 2	 8	 1080.jpg	 1.451290e+02	 12	 999000	 120	 999000	 999	 1.461460e+02	 716.67	 766.66	 3.00	 12	 0.88	 
MRI_faces_102	 2	 8	 1013.jpg	 1.471290e+02	 24	 999000	 240	 999000	 999	 1.481465e+02	 716.67	 766.66	 45.00	 2	 0.29	 
MRI_faces_102	 2	 8	 1173.jpg	 1.501291e+02	 22	 9.638010e+02	 220	 7.669599e+02	 98	 1.511724e+02	 716.67	 783.33	 54.00	 19	 0.21	 
MRI_faces_102	 2	 8	 2128.jpg	 1.521292e+02	 24	 999000	 240	 999000	 999	 1.531459e+02	 716.67	 783.33	 40.00	 48	 0.40	 
MRI_faces_102	 2	 8	 2118.jpg	 1.561292e+02	 12	 999000	 120	 999000	 999	 1.571461e+02	 716.67	 783.33	 5.00	 46	 0.85	 
MRI_faces_102	 2	 8	 2089.jpg	 1.621293e+02	 12	 999000	 120	 999000	 999	 1.631469e+02	 716.67	 783.33	 15.00	 42	 0.68	 
MRI_faces_102	 2	 8	 2125.jpg	 1.651293e+02	 12	 999000	 120	 999000	 999	 1.661481e+02	 716.67	 783.33	 4.00	 47	 0.88	 
MRI_faces_102	 2	 8	 2112.jpg	 1.671294e+02	 12	 999000	 120	 999000	 999	 1.681480e+02	 716.67	 783.33	 19.00	 45	 0.65	 
MRI_faces_102	 2	 8	 1060.jpg	 1.691293e+02	 24	 999000	 240	 999000	 999	 1.701477e+02	 716.67	 783.33	 52.00	 10	 0.24	 
MRI_faces_102	 2	 8	 2043.jpg	 1.711296e+02	 24	 999000	 240	 999000	 999	 1.721477e+02	 716.67	 783.33	 39.00	 37	 0.41	 
MRI_faces_102	 2	 8	 1202.jpg	 1.731294e+02	 12	 999000	 120	 999000	 999	 1.741477e+02	 716.67	 783.33	 22.00	 23	 0.60	 
MRI_faces_102	 2	 8	 1216.jpg	 1.761295e+02	 11	 9.253853e+02	 110	 7.169844e+02	 98	 1.771642e+02	 733.34	 783.33	 16.00	 26	 0.68	 
MRI_faces_102	 2	 8	 2248.jpg	 1.801296e+02	 12	 999000	 120	 999000	 999	 1.811497e+02	 733.34	 783.33	 13.00	 60	 0.72	 
MRI_faces_102	 2	 8	 1150.jpg	 1.831296e+02	 24	 999000	 240	 999000	 999	 1.841463e+02	 733.34	 783.33	 53.00	 18	 0.22	 
MRI_faces_102	 2	 8	 2209.jpg	 1.871296e+02	 12	 999000	 120	 999000	 999	 1.881480e+02	 733.34	 783.33	 20.00	 55	 0.62	 
MRI_faces_102	 2	 8	 2015.jpg	 1.921298e+02	 11	 9.470396e+02	 110	 7.336474e+02	 98	 1.931656e+02	 750.00	 783.33	 14.00	 33	 0.70	 
MRI_faces_102	 2	 8	 2010.jpg	 1.961305e+02	 11	 9.643783e+02	 110	 7.503228e+02	 98	 1.971647e+02	 766.67	 783.33	 8.00	 32	 0.77	 
MRI_faces_102	 2	 8	 1204.jpg	 1.991311e+02	 24	 999000	 240	 999000	 999	 2.001478e+02	 766.67	 783.33	 57.00	 24	 0.13	 
MRI_faces_102	 2	 8	 2063.jpg	 2.011314e+02	 12	 999000	 120	 999000	 999	 2.021481e+02	 766.67	 783.33	 21.00	 41	 0.61	 
MRI_faces_102	 2	 8	 2181.jpg	 2.031318e+02	 11	 9.710262e+02	 110	 7.669760e+02	 98	 2.041798e+02	 783.34	 783.33	 9.00	 53	 0.76	 
