"subjectID","scanner","order","block","run","trial","onsettime","ImageLeft","ImageRight","bidIndexLeft","bidIndexRight","IsleftGo","Response","PairType","Outcome","RT","bidLeft","bidRight","X.ixationTime","session","label","PairType2"
"MRI_faces_102",1,2,1,1,1,2.012678,"1019.jpg","1192.jpg",43,47,1,"y",2,0,1222.56,0.35,0.29,3.747178,1,"First Session","Low_Value"
"MRI_faces_102",1,2,1,1,2,9.012877,"1035.jpg","1262.jpg",7,11,0,"b",1,0,1006.37,0.79,0.73,10.52965,1,"First Session","High_Value"
"MRI_faces_102",1,2,1,1,3,22.01435,"1192.jpg","2149.jpg",47,46,0,"y",2,1,1039.89,0.29,0.29,23.56317,1,"First Session","Low_Value"
"MRI_faces_102",1,2,1,1,4,26.01702,"2153.jpg","1216.jpg",12,16,0,"b",1,0,873.23,0.72,0.68,27.39658,1,"First Session","High_Value"
"MRI_faces_102",1,2,1,1,5,31.0159,"1027.jpg","1013.jpg",48,45,1,"b",2,1,1046.36,0.28,0.29,32.56631,1,"First Session","Low_Value"
"MRI_faces_102",1,2,1,1,6,34.01663,"1173.jpg","1130.jpg",54,44,1,"y",2,0,995.63,0.21,0.35,35.51683,1,"First Session","Low_Value"
"MRI_faces_102",1,2,1,1,7,39.01736,"2153.jpg","2015.jpg",12,14,0,"b",1,0,1262.9,0.72,0.7,40.78442,1,"First Session","High_Value"
"MRI_faces_102",1,2,1,1,8,43.01805,"1130.jpg","1127.jpg",44,51,0,"b",2,0,1308.22,0.35,0.24,44.83025,1,"First Session","Low_Value"
"MRI_faces_102",1,2,1,1,9,52.01969,"1019.jpg","1013.jpg",43,45,1,"y",2,0,1166.56,0.35,0.29,53.68682,1,"First Session","Low_Value"
"MRI_faces_102",1,2,1,1,10,57.02053,"2010.jpg","2089.jpg",8,15,1,"b",1,1,1187.72,0.77,0.68,58.70431,1,"First Session","High_Value"
"MRI_faces_102",1,2,1,1,11,61.02116,"2181.jpg","2248.jpg",9,13,1,"y",1,0,1216.09,0.76,0.72,62.73833,1,"First Session","High_Value"
"MRI_faces_102",1,2,1,1,12,68.02236,"2015.jpg","2212.jpg",14,10,1,"y",1,0,1003.88,0.7,0.75,69.52273,1,"First Session","High_Value"
"MRI_faces_102",1,2,1,1,13,72.02313,"2212.jpg","2181.jpg",10,9,0,"y",1,1,1069.11,0.75,0.76,73.59013,1,"First Session","High_Value"
"MRI_faces_102",1,2,1,1,14,78.02412,"1246.jpg","1114.jpg",55,6,0,"y",4,1,960.13,0.21,0.82,79.48055,1,"First Session","Sanity"
"MRI_faces_102",1,2,1,1,15,83.01384,"2212.jpg","1031.jpg",10,17,0,"b",1,0,891.42,0.75,0.67,84.41405,1,"First Session","High_Value"
"MRI_faces_102",1,2,1,1,16,87.01394,"1192.jpg","1027.jpg",47,48,0,"y",2,1,847.32,0.29,0.28,88.36418,1,"First Session","Low_Value"
"MRI_faces_102",1,2,1,1,17,90.01397,"2181.jpg","2153.jpg",9,12,1,"b",1,1,1330.28,0.76,0.72,91.84746,1,"First Session","High_Value"
"MRI_faces_102",1,2,1,1,18,93.01394,"1019.jpg","2045.jpg",43,50,1,"y",2,0,948.32,0.35,0.24,94.46414,1,"First Session","Low_Value"
