subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	onset	duration
MRI_faces_102	1	2	2	2	1	2.013737	2248.jpg	1262.jpg	13	11	0	b	1	0	753.78	0.72	0.73	3.264996	2.013737	0.75378
MRI_faces_102	1	2	2	2	2	6.01434	1013.jpg	1173.jpg	45	54	0	y	2	1	808.13	0.29	0.21	7.326747	6.01434	0.80813
MRI_faces_102	1	2	2	2	3	9.014846	1052.jpg	1130.jpg	49	44	1	y	2	0	1027.66	0.28	0.35	10.54865	9.014846	1.02766
MRI_faces_102	1	2	2	2	4	14.01574	1035.jpg	2010.jpg	7	8	0	b	1	0	704.74	0.79	0.77	15.21617	14.01574	0.70474
MRI_faces_102	1	2	2	2	5	17.01626	2089.jpg	2015.jpg	15	14	0	y	1	1	715.22	0.68	0.7	18.23331	17.01626	0.71522
MRI_faces_102	1	2	2	2	6	20.01678	1127.jpg	2045.jpg	51	50	1	b	2	1	1053.71	0.24	0.24	21.56719	20.01678	1.05371
MRI_faces_102	1	2	2	2	7	34.01929	1052.jpg	1192.jpg	49	47	1	b	2	1	1035.2	0.28	0.29	35.55304	34.01929	1.0352
MRI_faces_102	1	2	2	2	8	38.01994	1027.jpg	2045.jpg	48	50	1	b	2	1	1014.55	0.28	0.24	39.52723	38.01994	1.01455
MRI_faces_102	1	2	2	2	9	42.02076	1013.jpg	1127.jpg	45	51	0	y	2	1	1165.74	0.29	0.24	43.67729	42.02076	1.16574
MRI_faces_102	1	2	2	2	10	45.01056	2010.jpg	1191.jpg	8	18	1	b	1	1	737.93	0.77	0.66	46.25494	45.01056	0.73793
MRI_faces_102	1	2	2	2	11	48.01066	1191.jpg	1262.jpg	18	11	0	b	1	0	1127.83	0.66	0.73	49.6441	48.01066	1.12783
MRI_faces_102	1	2	2	2	12	53.01077	2118.jpg	1246.jpg	5	55	1	b	4	1	794.72	0.85	0.21	54.31078	53.01077	0.79472
MRI_faces_102	1	2	2	2	13	56.01072	1127.jpg	1150.jpg	51	53	1	b	2	1	918.75	0.24	0.22	57.44014	56.01072	0.91875
MRI_faces_102	1	2	2	2	14	66.01085	1031.jpg	1035.jpg	17	7	1	y	1	0	1053.64	0.67	0.79	67.57528	66.01085	1.05364
MRI_faces_102	1	2	2	2	15	72.011	1013.jpg	1027.jpg	45	48	0	b	2	0	1217.49	0.29	0.28	73.72777	72.011	1.21749
MRI_faces_102	1	2	2	2	16	75.01095	1150.jpg	1052.jpg	53	49	0	y	2	1	964.53	0.22	0.28	76.47785	75.01095	0.96453
MRI_faces_102	1	2	2	2	17	79.01103	2181.jpg	1191.jpg	9	18	1	b	1	1	674.45	0.76	0.66	80.19453	79.01103	0.67445
MRI_faces_102	1	2	2	2	18	84.01145	2089.jpg	2181.jpg	15	9	0	y	1	1	723.03	0.68	0.76	85.22812	84.01145	0.72303
MRI_faces_102	1	2	2	2	19	91.01264	2248.jpg	2010.jpg	13	8	0	y	1	1	1094.85	0.72	0.77	92.61294	91.01264	1.09485
