subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	onset	duration
MRI_faces_105	1	1	4	1	1	2.016141	2063.jpg	2053.jpg	16	7	0	y	1	1	770.3	0.69	0.78	3.282401	2.016141	0.7703
MRI_faces_105	1	1	4	1	2	6.016785	2218.jpg	1226.jpg	15	17	1	y	1	0	734.68	0.7	0.68	7.24895	6.016785	0.73468
MRI_faces_105	1	1	4	1	3	13.0165	2053.jpg	2118.jpg	7	8	1	b	1	1	579.93	0.78	0.76	14.10013	13.0165	0.57993
MRI_faces_105	1	1	4	1	4	16.017	2112.jpg	2128.jpg	53	48	1	y	2	0	782.47	0.23	0.28	17.30078	16.017	0.78247
MRI_faces_105	1	1	4	1	5	21.0179	2045.jpg	2181.jpg	56	6	0	y	4	1	734.53	0.18	0.82	22.25163	21.0179	0.73453
MRI_faces_105	1	1	4	1	6	31.01967	2218.jpg	1013.jpg	15	14	1	y	1	0	709.76	0.7	0.7	32.23095	31.01967	0.70976
MRI_faces_105	1	1	4	1	7	34.02019	2063.jpg	1127.jpg	16	10	0	y	1	1	1224.24	0.69	0.75	35.74776	34.02019	1.22424
MRI_faces_105	1	1	4	1	8	37.02081	2128.jpg	1017.jpg	48	45	0	b	2	0	780.62	0.28	0.36	38.30442	37.02081	0.78062
MRI_faces_105	1	1	4	1	9	46.02213	2153.jpg	1017.jpg	46	45	0	b	2	0	825.31	0.3	0.36	47.34783	46.02213	0.82531
MRI_faces_105	1	1	4	1	10	49.02286	2240.jpg	2063.jpg	18	16	1	b	1	1	1185.57	0.67	0.69	50.7067	49.02286	1.18557
MRI_faces_105	1	1	4	1	11	59.0246	1192.jpg	2045.jpg	5	56	1	b	4	1	854.83	0.82	0.18	60.38139	59.0246	0.85483
MRI_faces_105	1	1	4	1	12	64.02546	1013.jpg	1216.jpg	14	12	0	b	1	0	875.02	0.7	0.71	65.39819	64.02546	0.87502
MRI_faces_105	1	1	4	1	13	69.01474	1216.jpg	2063.jpg	12	16	1	b	1	1	823.7	0.71	0.69	70.34821	69.01474	0.8237
MRI_faces_105	1	1	4	1	14	77.01489	2063.jpg	2094.jpg	16	13	0	y	1	1	656.56	0.69	0.71	78.18169	77.01489	0.65656
MRI_faces_105	1	1	4	1	15	84.015	2218.jpg	1114.jpg	15	11	1	b	1	1	875.43	0.7	0.73	85.39846	84.015	0.87543
MRI_faces_105	1	1	4	1	16	88.01509	1216.jpg	1226.jpg	12	17	1	y	1	0	970.33	0.71	0.68	89.48179	88.01509	0.97033
MRI_faces_105	1	1	4	1	17	91.01508	1013.jpg	2094.jpg	14	13	0	y	1	1	603.33	0.7	0.71	92.1152	91.01508	0.60333
MRI_faces_105	1	1	4	1	18	96.01516	1146.jpg	2024.jpg	43	44	0	b	2	0	802.29	0.39	0.38	97.31525	96.01516	0.80229
MRI_faces_105	1	1	4	1	19	99.01513	1146.jpg	2112.jpg	43	53	0	b	2	0	926.31	0.39	0.23	100.4487	99.01513	0.92631
MRI_faces_105	1	1	4	1	20	107.0164	1060.jpg	1017.jpg	49	45	0	b	2	0	950.07	0.28	0.36	108.4667	107.0164	0.95007
MRI_faces_105	1	1	4	1	21	113.0175	2112.jpg	1204.jpg	53	54	1	b	2	1	869.93	0.23	0.2	114.3845	113.0175	0.86993
MRI_faces_105	1	1	4	1	22	118.0183	1216.jpg	1114.jpg	12	11	1	b	1	1	972.14	0.71	0.73	119.4989	118.0183	0.97214
MRI_faces_105	1	1	4	1	23	123.0191	1204.jpg	1019.jpg	54	47	0	y	2	1	1047.31	0.2	0.28	124.5695	123.0191	1.04731
MRI_faces_105	1	1	4	1	24	126.0196	1017.jpg	2229.jpg	45	51	1	b	2	1	895.83	0.36	0.23	127.42	126.0196	0.89583
MRI_faces_105	1	1	4	1	25	140.0221	1127.jpg	1013.jpg	10	14	1	b	1	1	914.34	0.75	0.7	141.4391	140.0221	0.91434
MRI_faces_105	1	1	4	1	26	143.0226	2128.jpg	2039.jpg	48	52	0	b	2	0	603.82	0.28	0.23	144.1229	143.0226	0.60382
MRI_faces_105	1	1	4	1	27	147.0233	2024.jpg	1060.jpg	44	49	1	b	2	1	1063.13	0.38	0.28	148.5827	147.0233	1.06313
MRI_faces_105	1	1	4	1	28	151.0241	2240.jpg	1114.jpg	18	11	1	b	1	1	1009.34	0.67	0.73	152.5327	151.0241	1.00934
MRI_faces_105	1	1	4	1	29	154.0245	2089.jpg	2229.jpg	50	51	1	y	2	0	1159.93	0.27	0.23	155.6827	154.0245	1.15993
MRI_faces_105	1	1	4	1	30	157.0251	1060.jpg	2039.jpg	49	52	0	y	2	1	1341.33	0.28	0.23	158.8661	157.0251	1.34133
MRI_faces_105	1	1	4	1	31	163.026	2053.jpg	1262.jpg	7	9	1	b	1	1	613.41	0.78	0.75	164.1329	163.026	0.61341
MRI_faces_105	1	1	4	1	32	169.0161	1146.jpg	2039.jpg	43	52	0	b	2	0	707.35	0.39	0.23	170.2329	169.0161	0.70735
MRI_faces_105	1	1	4	1	33	172.0161	2112.jpg	2229.jpg	53	51	1	y	2	0	901.34	0.23	0.23	173.4281	172.0161	0.90134
MRI_faces_105	1	1	4	1	34	175.0162	1060.jpg	2112.jpg	49	53	0	b	2	0	1041.26	0.28	0.23	176.5664	175.0162	1.04126
MRI_faces_105	1	1	4	1	35	179.0163	1146.jpg	2089.jpg	43	50	0	b	2	0	642.14	0.39	0.27	180.1664	179.0163	0.64214
MRI_faces_105	1	1	4	1	36	182.0164	1114.jpg	2094.jpg	11	13	0	y	1	1	640.11	0.73	0.71	183.1664	182.0164	0.64011
MRI_faces_105	1	1	4	1	37	185.0164	2153.jpg	2039.jpg	46	52	0	b	2	0	911.01	0.3	0.23	186.4332	185.0164	0.91101
MRI_faces_105	1	1	4	1	38	188.0165	2218.jpg	2063.jpg	15	16	1	y	1	0	1162.97	0.7	0.69	189.6831	188.0165	1.16297
