subject	FFA_right	FFA_left	OFA_right	OFA_left	STS_right	STS_left	FFA_right_threshold_map	FFA_left_threshold_map	OFA_right_threshold_map	OFA_left_threshold_map	STS_right_threshold_map	STS_left_threshold_map
1	1	2	NaN	3	NaN	NaN	0	0	0	0	0	0
2	30	25	12	1	29	NaN	0	0	0	0	0	0
3	46	40	42	37	19	41	1	0	1	0	4	0
4	10	18	19	NaN	NaN	22	0	0	0	0	0	0
5	7	2	NaN	NaN	NaN	11	0	0	0	0	0	1
6	11	13	6	12	40	12	10	8	10	8	1	0
7	20	16	2	10	13	19	0	0	1	0	5	2
8	26	23	NaN	NaN	14	30	1	0	0	0	4	1
9	8	6	7	11	17	12	0	1	0	0	2	1
10	14	43	46	17	30	35	7	0	0	1	5	4
11	19	41	NaN	42	33	57	12	0	0	1	0	2
12	6	14	NaN	NaN	11	NaN	0	0	0	0	3	0
13	16	28	NaN	28	20	NaN	7	4	0	0	3	0
14	6	47	9	NaN	51	6	12	2	12	0	2	13
15	7	15	NaN	10	26	31	0	0	0	0	1	2
16	22	22	NaN	20	28	NaN	4	0	0	2	4	0
17	28	28	NaN	23	157	23	3	4	0	5	6	1
18	9	10	NaN	NaN	3	12	2	0	0	0	4	2
19	7	11	NaN	6	4	25	6	0	0	0	11	0
20	18	28	NaN	22	5	17	0	0	0	0	14	7
21	14	10	10	14	10	9	9	2	9	11	0	0
22	34	20	48	30	32	36	0	11	3	0	5	6
23	12	24	23	NaN	13	38	12	0	4	0	1	2
24	16	1	22	3	5	3	4	11	0	12	14	5
25	20	15	NaN	NaN	12	29	0	0	0	0	7	4
26	16	9	NaN	16	19	10	6	15	0	15	6	0
27	28	26	22	NaN	11	10	3	0	3	0	8	7
28	14	10	17	16	7	NaN	2	0	2	2	7	0
29	41	41	39	23	34	20	1	0	1	0	8	14
30	30	20	29	9	4	NaN	2	0	2	6	5	0
31	20	18	21	16	NaN	NaN	1	0	1	0	0	0
32	31	24	NaN	23	15	14	0	0	0	0	4	4
33	22	8	13	NaN	24	NaN	1	0	0	0	1	0
34	13	9	NaN	2	13	NaN	0	0	0	0	1	0
35	47	46	39	35	22	30	0	0	4	1	14	7
36	18	22	21	17	36	33	0	0	0	0	4	0
37	11	31	NaN	21	33	19	6	0	0	0	0	0
38	57	57	55	11	40	44	0	3	0	16	6	1
39	17	18	15	14	26	25	0	0	0	0	4	3
40	42	40	47	44	NaN	14	0	0	2	0	0	0
41	28	31	17	27	22	25	0	1	0	3	5	4
42	37	35	42	40	25	40	0	0	0	0	2	1
43	20	32	NaN	20	36	18	5	2	0	2	2	0
44	23	25	26	13	27	28	0	0	0	0	1	0
45	29	31	39	37	28	41	0	0	0	0	2	1
46	9	6	NaN	8	6	NaN	0	0	0	0	2	0
47	34	27	30	32	36	10	0	0	0	0	0	10
48	41	16	11	11	33	32	1	9	4	9	4	0
49	42	43	NaN	NaN	45	44	0	0	0	0	0	3
50	5	23	8	NaN	24	26	8	0	8	0	1	0
