subject	FFA_right	FFA_left	OFA_right	OFA_left	STS_right	STS_left	FFA_right_threshold_map	FFA_left_threshold_map	OFA_right_threshold_map	OFA_left_threshold_map	STS_right_threshold_map	STS_left_threshold_map
1	1	2	NaN	3	4	NaN	0	0	0	0	0	0
2	30	25	NaN	NaN	29	NaN	0	0	0	0	0	0
3	46	40	42	37	19	41	1	0	1	0	4	0
4	10	18	19	NaN	NaN	22	0	0	0	0	0	0
5	7	2	NaN	NaN	7	11	0	0	0	0	4	1
6	11	13	6	12	40	12	10	8	10	8	1	0
7	20	16	2	10	13	15	0	0	0	0	5	0
8	26	23	NaN	NaN	17	30	1	0	0	0	3	0
9	8	4	7	15	17	12	0	0	0	2	2	1
10	14	43	46	17	30	35	7	0	0	1	5	4
11	36	15	NaN	42	33	34	0	0	0	1	0	0
12	6	14	NaN	NaN	11	NaN	0	0	0	0	3	0
13	39	33	32	28	25	NaN	0	0	0	0	1	0
14	6	40	9	25	51	52	12	0	12	0	2	1
15	5	15	NaN	10	23	28	0	0	0	0	0	3
16	22	22	30	25	28	NaN	4	0	4	0	0	0
17	28	28	NaN	26	25	23	3	4	0	4	5	1
18	9	10	NaN	NaN	12	8	2	0	0	0	0	0
19	7	11	NaN	6	11	25	6	0	0	0	7	0
20	32	28	18	22	12	24	0	0	0	0	12	4
21	14	10	10	14	10	9	9	2	9	11	0	0
22	34	20	48	30	42	36	0	11	3	0	3	6
23	12	24	23	NaN	13	23	12	0	4	0	11	6
24	28	1	22	4	5	31	0	11	0	11	10	1
25	20	15	NaN	NaN	16	29	0	0	0	0	6	4
26	16	9	NaN	16	19	10	6	15	0	15	6	0
27	28	26	22	6	10	27	3	0	3	0	8	0
28	14	10	17	16	15	NaN	2	0	2	2	1	0
29	41	41	39	23	34	41	1	0	1	0	8	4
30	30	20	9	NaN	23	18	2	0	6	NaN	0	0
31	19	18	21	16	NaN	NaN	0	0	0	0	0	0
32	31	24	NaN	23	36	38	0	0	0	0	2	1
33	22	8	13	NaN	24	NaN	1	0	0	0	1	0
34	13	9	6	2	13	11	0	0	0	0	1	0
35	47	55	NaN	NaN	22	43	0	2	0	0	14	4
36	18	22	21	17	46	33	0	0	0	0	1	0
37	11	31	NaN	21	33	27	6	0	0	0	0	1
38	57	57	55	11	45	44	0	3	0	16	5	1
39	17	18	22	14	26	25	0	0	2	0	4	3
40	42	40	47	44	39	14	0	0	0	0	0	0
41	28	31	17	32	23	25	0	1	0	1	4	4
42	37	35	32	40	25	40	0	0	0	0	2	1
43	11	32	7	20	32	18	8	2	8	2	3	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0
45	29	31	39	37	28	44	0	0	0	0	2	1
46	9	6	NaN	8	10	NaN	0	0	0	0	1	0
47	34	27	30	32	36	10	0	0	0	0	0	0
48	3841	16	NaN	11	33	32	1	9	0	9	4	0
49	42	43	NaN	NaN	37	44	0	0	0	0	4	3
50	5	23	8	NaN	24	26	8	0	8	0	1	0
