subjectID	runtrial	onsettime	ImageLeft	ImageRight	StimNumLeft	StimNumRight	Response	Outcome	RT
MRI_faces_102	1	5.165123e-01	2218.jpg	1073.jpg	57	11	u	0	1.241918e+03
MRI_faces_102	2	4.020434e+00	2209.jpg	1204.jpg	55	24	i	0	1.193995e+03
MRI_faces_102	3	7.507663e+00	2164.jpg	1019.jpg	52	4	u	0	1.394754e+03
MRI_faces_102	4	1.101160e+01	1226.jpg	1060.jpg	27	10	i	0	1.010837e+03
MRI_faces_102	5	1.451551e+01	1130.jpg	2112.jpg	15	45	i	0	1.370922e+03
MRI_faces_102	6	1.801943e+01	2039.jpg	1052.jpg	35	9	i	0	1.675004e+03
MRI_faces_102	7	2.150666e+01	2006.jpg	1216.jpg	31	26	u	0	1.563771e+03
MRI_faces_102	8	2.501058e+01	2229.jpg	2015.jpg	58	33	i	0	1.611852e+03
MRI_faces_102	9	2.851450e+01	1192.jpg	1017.jpg	22	3	u	0	1.531950e+03
MRI_faces_102	10	3.201843e+01	2089.jpg	2110.jpg	42	44	u	0	1.252001e+03
MRI_faces_102	11	3.552234e+01	2045.jpg	2149.jpg	38	49	u	0	1.212086e+03
MRI_faces_102	12	3.900957e+01	1183.jpg	2212.jpg	20	56	u	0	1.140857e+03
MRI_faces_102	13	4.251350e+01	2024.jpg	2043.jpg	34	37	u	0	1.556928e+03
MRI_faces_102	14	4.601741e+01	1150.jpg	2153.jpg	18	50	i	0	1.469014e+03
MRI_faces_102	15	4.952133e+01	2248.jpg	2194.jpg	60	54	u	0	1.109102e+03
MRI_faces_102	16	5.300857e+01	2041.jpg	1127.jpg	36	14	i	0	1.181869e+03
MRI_faces_102	17	5.651249e+01	2118.jpg	1007.jpg	46	1	u	0	1.589974e+03
MRI_faces_102	18	6.001641e+01	1027.jpg	1031.jpg	5	6	u	0	9.980231e+02
MRI_faces_102	19	6.352033e+01	2240.jpg	2128.jpg	59	48	u	0	1.510102e+03
MRI_faces_102	20	6.700756e+01	1080.jpg	1114.jpg	12	13	u	0	1.886863e+03
MRI_faces_102	21	7.051148e+01	1173.jpg	2155.jpg	19	51	i	0	1.662947e+03
MRI_faces_102	22	7.401541e+01	1145.jpg	2058.jpg	16	40	i	0	1.367012e+03
MRI_faces_102	23	7.751932e+01	1202.jpg	1210.jpg	23	25	u	0	1.415110e+03
MRI_faces_102	24	8.100656e+01	1146.jpg	2125.jpg	17	47	u	0	1.303872e+03
MRI_faces_102	25	8.451047e+01	1255.jpg	1262.jpg	29	30	u	0	1.711956e+03
MRI_faces_102	26	8.801440e+01	1013.jpg	1191.jpg	2	21	i	0	1.256027e+03
MRI_faces_102	27	9.151832e+01	1035.jpg	2181.jpg	7	53	u	0	1.576115e+03
MRI_faces_102	28	9.502223e+01	2053.jpg	1246.jpg	39	28	i	0	1.424213e+03
MRI_faces_102	29	9.850947e+01	1050.jpg	2063.jpg	8	41	u	0	1.736957e+03
MRI_faces_102	30	1.020134e+02	2010.jpg	2094.jpg	32	43	u	0	1.265054e+03
MRI_faces_102	31	1.055173e+02	2248.jpg	2094.jpg	60	43	u	0	1.265126e+03
MRI_faces_102	32	1.090212e+02	1080.jpg	1146.jpg	12	17	i	0	1.769201e+03
MRI_faces_102	33	1.125085e+02	1226.jpg	2043.jpg	27	37	i	0	1.265955e+03
MRI_faces_102	34	1.160124e+02	2128.jpg	2045.jpg	48	38	i	0	1.938043e+03
MRI_faces_102	35	1.195163e+02	2010.jpg	2063.jpg	32	41	u	0	1.906119e+03
MRI_faces_102	36	1.230202e+02	2118.jpg	2229.jpg	46	58	u	0	1.474202e+03
MRI_faces_102	37	1.265075e+02	1150.jpg	1050.jpg	18	8	i	0	1.354971e+03
