trial,time,stimulus,RT,KeyPressed,Is correct
1,,Fixation,,,
2,,Fixation,,,
3,,Fixation,,,
4,,Fixation,,,
5,,Fixation,,,
6,,Fixation,,,
7,,Fixation,,,
8,,Fixation,,,
9,,Fixation,,,
10,,Fixation,,,
11,,Fixation,,,
12,,Fixation,,,
13,,Fixation,,,
14,,Fixation,,,
15,,Fixation,,,
16,,Fixation,,,
17,16.0437,MVI_0919_new.avi,none,none,TRUE
18,17.0431,MVI_0930_new.avi,none,none,TRUE
19,18.042,MVI_0934_new.avi,none,none,TRUE
20,19.042,MVI_0917_new.avi,none,none,TRUE
21,20.0421,MVI_0915_new.avi,none,none,TRUE
22,21.0421,MVI_0922_new.avi,none,none,TRUE
23,22.0421,MVI_0929_new.avi,none,none,TRUE
24,23.0419,MVI_0937_new.avi,none,none,TRUE
25,24.042,MVI_0936_new.avi,none,none,TRUE
26,25.042,MVI_0936_new.avi,0.54872,b,TRUE
27,26.042,MVI_0935_new.avi,none,none,TRUE
28,27.0419,MVI_0932_new.avi,none,none,TRUE
29,28.042,MVI_0931_new.avi,none,none,TRUE
30,29.0419,MVI_0920_new.avi,none,none,TRUE
31,30.0421,MVI_0920_new.avi,0.53793,b,TRUE
32,31.042,MVI_0921_new.avi,none,none,TRUE
33,32.0487,Leaves.avi,none,none,TRUE
34,33.0746,Toilet.avi,none,none,TRUE
35,34.0487,Flag.avi,none,none,TRUE
36,35.0488,Tennis.avi,none,none,TRUE
37,36.0487,Tennis.avi,0.45362,b,TRUE
38,37.0488,Water.avi,none,none,TRUE
39,38.0488,Discs.avi,none,none,TRUE
40,39.0488,Candle.avi,none,none,TRUE
41,40.0489,Globe.avi,none,none,TRUE
42,41.0488,Fan.avi,none,none,TRUE
43,42.0489,RecPlayer.avi,none,none,TRUE
44,43.0489,StopWatch.avi,none,none,TRUE
45,44.0489,StopWatch.avi,0.5222,b,TRUE
46,45.0488,Opener.avi,none,none,TRUE
47,46.0488,Coffee.avi,none,none,TRUE
48,47.0489,Tire.avi,none,none,TRUE
49,48.0538,MVI_0919_new.avi,none,none,TRUE
50,49.0727,MVI_0934_new.avi,none,none,TRUE
51,50.0553,MVI_0937_new.avi,none,none,TRUE
52,51.0553,MVI_0937_new.avi,0.42368,b,TRUE
53,52.0552,MVI_0921_new.avi,none,none,TRUE
54,53.0552,MVI_0920_new.avi,none,none,TRUE
55,54.0553,MVI_0935_new.avi,none,none,TRUE
56,55.0553,MVI_0915_new.avi,none,none,TRUE
57,56.0553,MVI_0932_new.avi,none,none,TRUE
58,57.0552,MVI_0929_new.avi,none,none,TRUE
59,58.0552,MVI_0930_new.avi,none,none,TRUE
60,59.0552,MVI_0930_new.avi,0.62696,b,TRUE
61,60.0552,MVI_0922_new.avi,none,none,TRUE
62,61.0553,MVI_0936_new.avi,none,none,TRUE
63,62.0554,MVI_0917_new.avi,none,none,TRUE
64,63.0553,MVI_0931_new.avi,none,none,TRUE
65,64.0598,Discs.avi,none,none,TRUE
66,65.086,Tire.avi,none,none,TRUE
67,66.0612,Toilet.avi,none,none,TRUE
68,67.0612,Coffee.avi,none,none,TRUE
69,68.0613,Opener.avi,none,none,TRUE
70,69.0612,Globe.avi,none,none,TRUE
71,70.0613,Globe.avi,0.6193,b,TRUE
72,71.0612,Flag.avi,none,none,TRUE
73,72.0612,RecPlayer.avi,none,none,TRUE
74,73.0612,Candle.avi,none,none,TRUE
75,74.0612,Fan.avi,none,none,TRUE
76,75.0613,StopWatch.avi,none,none,TRUE
77,76.0612,Water.avi,none,none,TRUE
78,77.0612,Leaves.avi,none,none,TRUE
